"ClaimType";"ClaimDay";"ClaimCost"
1;1;158708
1;1;20894
1;1;9571
1;1;28153
1;1;26242
1;1;14975
1;1;21324
1;1;14202
1;1;21617
1;1;12147
1;1;41851
1;1;16729
1;1;13177
1;1;13953
1;1;23117
1;1;15661
1;1;8564
1;1;13463
1;1;16547
1;2;8381
1;2;30877
1;2;25719
1;2;32812
1;2;8668
1;2;16732
1;2;13239
1;2;57773
1;2;16750
1;3;16552
1;3;24869
1;3;11232
1;3;16241
1;3;14534
1;3;35572
1;3;10403
1;3;29605
1;3;18057
1;3;13586
1;4;38804
1;4;13998
1;4;54416
1;4;11670
1;4;17726
1;4;32134
1;4;16739
1;4;17503
1;4;13165
1;4;24059
1;4;16091
1;4;27010
1;4;21633
1;4;9559
1;5;17309
1;5;10970
1;5;15830
1;5;36426
1;5;25398
1;5;30451
1;5;32842
1;5;26536
1;5;15456
1;5;10481
1;5;17710
1;5;13786
1;6;206211
1;6;10775
1;6;23908
1;6;19279
1;6;23541
1;6;43684
1;6;14961
1;6;21077
1;7;22075
1;7;20128
1;7;9416
1;7;101101
1;7;30000
1;7;25738
1;7;13081
1;7;43448
1;7;23873
1;7;10759
1;7;11213
1;7;23947
1;7;17986
1;7;9048
1;7;36563
1;7;16864
1;7;14075
1;7;26136
1;7;11262
1;8;19781
1;8;15207
1;8;23709
1;8;11198
1;8;23943
1;8;14543
1;8;16179
1;8;37441
1;8;18680
1;8;32363
1;8;36390
1;8;19217
1;8;18319
1;8;9888
1;8;23709
1;8;43945
1;8;12645
1;9;32898
1;9;18189
1;9;34749
1;9;28011
1;9;12059
1;9;19856
1;9;21326
1;9;46238
1;9;19185
1;9;27262
1;9;14527
1;9;16632
1;9;32502
1;9;17731
1;10;32761
1;10;241845
1;10;22123
1;10;35497
1;10;23169
1;10;17683
1;10;12931
1;10;33694
1;10;19945
1;10;23940
1;10;17332
1;11;24161
1;11;25837
1;11;10921
1;11;29207
1;11;17270
1;11;13613
1;11;27539
1;11;30242
1;11;23090
1;11;24302
1;11;21618
1;12;17519
1;12;24537
1;12;38685
1;12;26210
1;12;17751
1;12;21944
1;13;8685
1;13;10932
1;13;46303
1;13;20759
1;13;19350
1;13;10238
1;13;10495
1;13;27307
1;14;19414
1;14;18591
1;14;9805
1;14;17668
1;14;14340
1;14;14555
1;14;52550
1;14;10163
1;14;18163
1;15;16685
1;15;27652
1;15;23522
1;15;19711
1;15;16112
1;15;17109
1;15;11460
1;15;17564
1;16;23118
1;16;31432
1;16;19791
1;16;21530
1;16;25758
1;16;32422
1;16;19284
1;16;22506
1;16;22571
1;16;13617
1;16;22437
1;17;29952
1;17;28999
1;17;26195
1;17;22178
1;17;19512
1;17;12771
1;17;14140
1;17;12448
1;17;11750
1;17;14513
1;17;20556
1;17;18879
1;17;20501
1;17;6713
